project,totalMerges,totalFastFowardMerges,totalOtherMerges
MPAndroidChart,325,96,229
AndroidUtilCode,67,43,24
leakcanary,250,151,99
SmartRefreshLayout,50,3,47
BaseRecyclerViewAdapterHelper,293,123,170
material-dialogs,200,111,89
anko,35,19,16
flexbox-layout,65,55,10
ExoPlayer,334,94,240
AndroidViewAnimations,32,15,17
MaterialDrawer,311,116,195
GSYVideoPlayer,51,4,47
ARouter,74,20,54
vlayout,111,59,52
recyclerview-animators,50,24,26
JiaoZiVideoPlayer,245,129,116
PermissionsDispatcher,179,114,65
uCrop,57,26,31
FileDownloader,36,28,8
BottomBar,131,40,91
MVPArms,62,19,43
MaterialViewPager,33,18,15
easypermissions,39,33,6
atlas,140,13,127
UltimateRecyclerView,153,42,111
UltimateAndroidReference,73,27,46
WeChatLuckyMoney,39,23,16
VirtualXposed,232,93,139
DoraemonKit,46,26,20
DroidPlugin,30,20,10
PictureSelector,146,0,146
Android-Debug-Database,56,26,30
material,33,5,28
Timber,115,47,68
VirtualApp,243,93,150
NewPipe,757,158,599
android-classyshark,122,81,41
quickstart-android,204,58,146
android-oss,473,119,354
mosby,53,19,34
android-job,62,31,31
material-calendarview,124,54,70
AndroidPerformanceMonitor,39,11,28
android-interview-questions,61,40,21
FloatingActionButton,36,13,23
Small,77,22,55
android-advancedrecyclerview,120,63,57
Android-Image-Cropper,85,45,40
dialogplus,43,31,12
Alerter,69,36,33
Fast-Android-Networking,36,18,18
FastHub,428,181,247
Android-Iconics,179,76,103
WilliamChart,40,12,28
MaterialDateTimePicker,50,22,28
from-java-to-kotlin,38,28,10
react-native-push-notification,102,40,62
Dexter,41,19,22
PageIndicatorView,47,11,36
CloudReader,43,0,43
Context-Menu.Android,60,31,29
DeepLinkDispatch,70,56,14
koin,108,24,84
FirebaseUI-Android,370,142,228
hawk,56,41,15
Fotoapparat,70,22,48
Conversations,612,183,429
react-native-splash-screen,51,20,31
Robust,73,33,40
tachiyomi,79,52,27
spruce-android,98,57,41
Android-Week-View,60,14,46
FlexibleAdapter,48,4,44
LeafPic,395,190,205
fuel,107,60,47
Lawnchair,12803,148,12655
ChatKit,60,11,49
storio,416,273,143
Tangram-Android,69,35,34
FastAdapter,264,88,176
