project,totalMerges,totalFastFowardMerges,totalOtherMerges
android,1119,307,812
android,1119,307,812
TweetLanes,186,79,107
android,187,108,79
Etar-Calendar,3295,87,3208
AntennaPod,982,320,662
PocketHub,360,183,177
FileDownloader,27,24,3
fdroidclient,675,352,323
budget-watch,122,120,2
andors-trail,89,37,52
NucleusApp,12,7,5
crowdbikemobileAS,34,7,27
