mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
dd6d07ada181a5cd05af3e976b31f3f4ad157aea,0,1,1,[FeedInfo@ PodDB@ RESOURCE],[Preference@ RESOURCE]
c921eba52342f52038e5ac6f9a088dde24d10c9e,0,0,0,[Subscriptions@ RESOURCE],[FeedItemMenu]
cd0d23d2606c35d783457f2a945f539382018285,0,1,1,[Audioplayer@ FeedInfo@ FeedSettings@ ImportExport@ Main@ Mediaplayer@ Preference@ Videoplayer@ DownloadedEpisodesList@ PlaybackCallbacksImpl@ CompletedDownloads@ Episodes@ ExternalPlayer@ Item@ Itemlist@ Queue@ Subscription@ FeedItemMenu@ PlayerWidget@ AspectRatioVideo@ Event@ FeedUpdateJob@ GpodnetSync@ PlayerWidgetJob@ Download@ Playback@ DB@ AutoUpdate@ PlaybackStarter@ RESOURCE],[About@ RESOURCE]
5526937698c6d45188ff273a3b18866da443c29c,1,1,3,[Mediaplayer@ Videoplayer@ PlaybackCallbacksImpl@ AspectRatioVideo@ RESOURCE],[GPodnet@ Feed@ DB@ Main@ PreferenceFlavorHelper@ About@ Audioplayer@ Castplayer@ DownloadAuthentication@ FeedInfo@ FlattrAuth@ ImportExport@ Mediaplayer@ MediaplayerInfo@ OnlineFeed@ OpmlFeedChooser@ OpmlImportBase@ Preference@ PreferenceGingerbread@ StorageError@ Videoplayer@ GpodnetAuthentication@ AllEpisodesRecycle@ DownloadLog@ DownloadedEpisodesList@ Downloadlist@ FeedItemlist@ NavList@ QueueRecycler@ Searchlist@ StatisticsList@ Subscriptions@ Itunes@ EpisodesApplyAction@ AddFeed@ AllEpisodes@ CompletedDownloads@ Downloads@ Episodes@ ExternalPlayer@ FavoriteEpisodes@ FyydSearch@ ItemDescription@ Item@ Itemlist@ ItunesSearch@ PlaybackHistory@ Queue@ RunningDownloads@ Subscription@ GpodnetMain@ PodcastList@ SearchList@ TagList@ FeedItemMenu@ PlayerWidget@ SquareImage@ CustomMRDialog@ PlaybackFlavorHelper@ Update@ GpodnetBadStatusCodeException@ GpodnetException@ GpodnetSync@ Download@ Playback@ PlaybackMediaPlayer@ PlaybackTask@ PodDB@ FeedResult@ State@ Synd@ FlattrCreator@ RESOURCE]
0eab73d85bf29df0ee7d161d370e55ddea392350,0,0,0,[Picasso@ RESOURCE],[]
1bb1f0990f6b9fb6b30383083aa592fd40c4c72e,1,1,5,[Main@ NavList@ NewEpisodesList@ AllEpisodes@ NewEpisodes@ GpodnetSync@ DB@ RESOURCE],[PlaybackTask@ Audioplayer@ Main@ Mediaplayer@ CompletedDownloads@ ExternalPlayer@ Item@ Itemlist@ NewEpisodes@ PlaybackHistory@ Queue@ Search@ FeedItemMenu@ Preference@ PlayerWidget@ Gpodnet@ GpodnetSync@ Download@ Playback@ PlaybackMediaPlayer@ DB@ PodDB@ UndoBar@ RESOURCE]
8683277627f4cf60b4093c8b8e5276264af65845,0,1,1,[PlaybackMediaPlayer@ Playback@ RESOURCE],[DownloadLog@ Download@ RESOURCE]
85e1924085793ec4a19f8ebbb6453fde819ef85b,0,0,0,[],[Audioplayer@ Main@ AllEpisodes@ CompletedDownloads@ DownloadLog@ Itemlist@ PlaybackHistory@ Queue@ RunningDownloads@ Search]
c7d2975039d209556c5dc37a424549a4e9bba25c,0,0,0,[DB@ Main@ Update@ Audioplayer@ DefaultOnlineFeed@ FeedInfo@ Mediaplayer@ AllEpisodesList@ DownloadedEpisodesList@ NavList@ QueueList@ Searchlist@ PodcastList@ Itunes@ Cover@ ExternalPlayer@ Item@ Itemlist@ Queue@ Preference@ Picasso@ FeedMediaSize@ GpodnetSync@ Download@ Playback@ PodDB@ RESOURCE],[]
98a0b46bed65b6489923be7364bb9894901ae6fc,0,0,0,[DB],[EpisodesApplyAction@ NewEpisodes@ FeedItemMenu@ PlayerWidget@ GpodnetSync@ Playback@ PlaybackMediaPlayer@ PodDB]
58e7118618b256f0a0cdff8750d5e6bb3c8ba8a8,0,0,0,[RESOURCE],[]
f6794d170c820dffbc653c269bb031abc020ab45,0,1,1,[Preference@ Feed@ Episodes@ Playback@ FeedItemMenu@ RESOURCE],[Feed]
5d36790182e1b9f8c624de06681698f43e243457,0,1,1,[RESOURCE],[Update@ Audioplayer@ Main@ Mediaplayer@ OnlineFeed@ OpmlFeedChooser@ OpmlImportBase@ Videoplayer@ DownloadLog@ Itunes@ Chapters@ ExternalPlayer@ ItemDescription@ Item@ Preference@ Download@ PlaybackMediaPlayer@ Playback@ RESOURCE]
