mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
b183e4f656e21a62aa2395df03a7def1c51f72f8,true,780,55,417.5,207.12
c1bb6d9f9f758cfd91c9b64c7b02d959f181637f,false,9,1,5.0,3.0
f9d9f7ff83be290a7f2d3a8843109f05de62a9fa,true,596,117,356.5,264.07
c3cbe373c1e6e0a9d6dbe69f413e372c67a42085,false,13,206,109.5,51.75
3aff0b01860c9966433f4234e03d53db31774207,false,111,128,119.5,119.2
05ef5d7f4ec93701084f1623e65d7a261fbcbcdf,false,33,110,71.5,60.25
c5550720c32ec6e6977bd9db734fb924464c0eba,false,18,1,9.5,4.24
b39934b6018f89ad082cdb2c551c633e804b185f,false,141,7,74.0,31.42
962912681e51b86205f83007e7e7002ae158ce4c,false,2,329,165.5,25.65
8fa3d3d8ae85aef0d51cdbb1eff27cb219e94f4f,false,9,1,5.0,3.0
9ae127610c18e22716ad4d07471e3955fd11f347,false,7,43,25.0,17.35
b74e57565db36fa8a443b490160d4f84dfb681a4,false,32,78,55.0,49.96
a0ab61ab1763346035b809eb0a740362c5ccd97d,false,148,3,75.5,21.07
856910bb5679c25f60245f7d2b2f424f921c7c3d,false,1,18,9.5,4.24
2ae8bff1748de07d3f066ff2cc58b9cedabb959c,false,771,1,386.0,27.77
a6159abd0695cedc7636377001415236f3b96cb1,false,324,9,166.5,54.0
ad967ccee803fc1f45a856a2bc0bf681a6b534de,false,48,8,28.0,19.6
79c66f94cda215615734956305d743bd40a6c62e,false,1,42,21.5,6.48
0b9515a8d1ea580ba8943ef6fb70ea8c35754eca,false,169,116,142.5,140.01
4dbf2fc2785659cb7931b53a23b2fa2f69409e67,true,628,46,337.0,169.96
c4db889e0bc39c59ffd9b711391baef3aea6e2fd,false,329,28,178.5,95.98
8cb8d088287de36aae39aa4a3a57d457f8430992,false,267,6,136.5,40.02
8140b6946b6b211dee2996f414691b55c6e07feb,false,1805,4,904.5,84.97
c24247e1a0131ade0b765a37b920cdf2bb103dd6,false,1,7,4.0,2.65
e6e295b425f7c470d8346185951bba1ead72adfe,false,8,5,6.5,6.32
c236865c0870a7b884daa19e0fad1ff1148ca163,false,243,11,127.0,51.7
1e11c7b535d134ef9c0e6430ffb153361a9ced3f,false,7,1,4.0,2.65
49fc4e19e98a917115808d460d670b501b1e12f1,false,38,10,24.0,19.49
ad6b52f2eebd298e6b611d840cf59591d959f1e3,false,700,72,386.0,224.5
98779b2503fc87b0c3ebc8d22a862762d083acd6,false,46,26,36.0,34.58
