mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
09fa8dab66b82ee46e6d63c240d7ee6a10a5873a,false,1,1,1.0,1.0
3e9c4e20e75cf3916f0b193b396d00b09bf000a9,true,11,3,7.0,5.74
712b1331fb5f9d8736212dc40cb0364529300a18,true,11,74,42.5,28.53
4e5e5501477c13114a8eb4ae658e15df456590aa,false,1,1,1.0,1.0
32f5876d4d7f6e450cc43550d5f2fd449d31e6b4,true,6,106,56.0,25.22
df884e57e2d0e4ab5356a563bb8161ac422045ba,false,9,1,5.0,3.0
3ed5bc6f4837f8f9c4e3dcde0b7c7df595768919,false,27,3,15.0,9.0
b2c1ff19199a4cdacd4fc7bc882858ec2115ec81,false,1,18,9.5,4.24
f0327278721ad9d30b9b38eb3e05fe375a3ac7ca,true,39,2,20.5,8.83
f6b01aa4d9e51be9f049bb2846d00f3e9b28e920,false,1,1,1.0,1.0
7e5c7dd4eb722eb38f9bffac0d9d66468104289c,false,1,37,19.0,6.08
f8458ec971aeccfe2aaa49465738d847d693e1e0,false,1,8,4.5,2.83
cca2bb1247c80b025e12b00c3ca9943d3268fa4f,false,1,11,6.0,3.32
494e26204851be93e4e4636b99bf4587e91f1959,false,4,1,2.5,2.0
aff2e3cfd8d579bef75f502b3b34d02d9b70aee9,false,258725,258725,258725.0,258725.0
83961ed01fa6270f77849f29dcca03692912f879,false,1,1,1.0,1.0
9dc6aa5d9e2b1455872328e2658751ae1d5d2d7c,false,4,1,2.5,2.0
c8a81b622c6080a396cb40c0a188007e4c69be2b,false,12,7,9.5,9.17
00eb0af8085464aac61548020b412ec0df21d983,false,5271,390605,197938.0,45374.87
e3e3402dee8a40c9b3712a61f5e56a7fb09e5613,false,29,2,15.5,7.62
a6865a760fc09cbdcbb06de9e85deda7b5628915,false,868,2,435.0,41.67
8cf856ab04be5d6889a80180b76a51ed1fbf7f59,true,89,83,86.0,85.95
7b6625cd5460689503023d1745f3f288cd179704,false,1,1,1.0,1.0
f4d2118bb02b748ff2d4a2519df0bd07c40722eb,false,2,1,1.5,1.41
58d241b48d72a4b338f235ebfab499071b5ace0c,false,8016,11,4013.5,296.94
e7484a6015efb0f54baf2f983cbb6df75e508283,false,2,1,1.5,1.41
43b485562a30fa0c3ac2dfbba144dcbcc27be47f,false,2,1,1.5,1.41
e8be70c3cf44d3f126b69d8641011495aece1e7c,false,2,4,3.0,2.83
0b29bd3dac92509140bbaae3bef0ae0904e72dc7,true,12,1,6.5,3.46
f78140ecca15ca4fcfd3f09319692c0986e63d17,false,2555,1035,1795.0,1626.17
