mergeCommitID, isConflicting, leftDate, rightDate, contributionConclusionDelay
9ed5830ad605a6891bc67100393ec24bfeeefe4d,false,2011-10-07,2011-10-07,0
8f2c5466fa963d93503e8cc46e1bb05c1c1f2185,false,2013-05-01,2013-04-12,19
58fd430940fc630f04fc73f00e6c055f597bcbb7,false,2013-05-01,2013-03-06,56
c69517a077b91f6f0e30a8c2559a39d1e00bcdd3,false,2012-07-20,2012-07-20,0
79173d9f1210bfe8ef29f0c00b4d83aa45162271,false,2012-05-04,2012-05-04,0
1d68b3cdddfafcd79657379d668fc38b04f20c2b,false,2012-05-09,2012-05-09,0
3e722154fa9fece6e2811278e32e8059feb0ddc4,false,2012-03-07,2012-03-06,1
5ef8101414f923a8fc9244d1b1b529b48d6d1276,true,2011-06-09,2011-06-07,2
047079a8bbb68e6589c7c1d1daa5b25ac92cfcd0,false,2012-05-15,2012-05-16,1
604b2d999d1064f8549f86cb910582df2310a01a,false,2010-09-29,2010-09-28,1
4dcea88ce1c4653aaa1569d9d3bcb80b88c9de68,true,2010-05-18,2010-06-08,21
6afbaa2a78fde3cba4a5f8f964be92abb7527416,false,2012-09-14,2012-09-14,0
00c94183f8a7016df27637f7262b8ff324eed7c3,false,2009-09-18,2009-09-18,0
23d27a9df05a4d4455628b5c2fd8f1e0850fd19e,false,2012-11-16,2012-11-16,0
4091aa502ef2b67ebca82e3987f3270d4f19e3c2,false,2011-05-19,2011-05-19,0
3b0c0b8dd178b973929b1ca511357b1ae90a61b6,false,2011-05-26,2011-05-26,0
9b67695b8a70a018493fa01924d67dbdb9560bd3,false,2009-09-29,2009-09-29,0
c8b75d0d4387dc02b617c8bb7432afd5071d0fc8,false,2013-04-18,2013-04-18,0
0d4141e71e0828b45a44924b9258ca9fb568fa08,false,2012-05-16,2012-05-15,1
75d80dca513294109e5eb68c7c75ebc5b78eb5ae,false,2011-12-01,2011-12-02,1
7ccb211baabd22bf394f158ae116df414fedb4de,false,2011-12-07,2011-12-06,1
56b85216670c91ed12bbdf73e0fd3023a13b874f,false,2012-05-16,2012-05-16,0
524b1ebbeb9dafc66cbaef9ac595d97ab55d063b,false,2012-03-01,2012-03-07,6
2d078d53767ed634a22826a7c088efc91c528903,false,2010-07-21,2010-07-21,0
b023b8bfbf790476a386f1b2f427fe5dcca5fc43,false,2011-02-15,2011-02-16,1
f32361a70647652a07e0387693e40d8e4f63d142,false,2013-04-25,2013-04-25,0
88d0b0438e41ad3aff04879b6bb0f4789ee05936,false,2013-04-02,2013-04-01,1
f04883c40f4b805fcc2c2c10c12b569eae085bb9,false,2011-01-13,2011-01-13,0
ce2719263ef6cc77ea2c24d5cb8602c763a5c895,false,2012-11-06,2012-11-05,1
f388d55d28296a38eb17d7d7e497edb427c0a1ab,false,2012-02-01,2012-02-08,7
