mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
c1c288ffaa4c5cb6df026e3ba35c41085977d487,false,30,1,15.5,5.48
0820db52ffa51531ccd0166660d1a821ae08bba2,false,33,39,36.0,35.87
623a2579bbd7b09a027c9341c81edd0627c64df4,false,44,39,41.5,41.42
ff5e429d89d2ddfd3b7f6d3f1b79fc7e4ecc15ee,false,1,1,1.0,1.0
5a5ec9f749f23f109ec58512571ccd900f505251,false,16,17,16.5,16.49
3a79147b22f6a5574715d5469266fce17e16c0ba,false,181,2,91.5,19.03
e44902cba49edc3d9886b750ad8ba9ec94155588,false,57,1,29.0,7.55
2c371d9082d7e2baff95c10b2800f6ba465de555,false,1881,130,1005.5,494.5
1ba8ede3731ffbadad23c5c8aae1da430cf76f06,false,85,38,61.5,56.83
5a7aefb5cdfdad87b2a0618520558e32027be902,false,5,3,4.0,3.87
6c6588869c0f9e86bc4ed9f39a8e30f6f4fc57c6,false,36,31,33.5,33.41
57c63b8dba7293d9d0be3bfecb715ed93ad60016,false,320,535,427.5,413.76
2613ce63e945cc453494e810d5718408bab08707,false,75,98,86.5,85.73
ded2d74c71595214e4ee0e63a664c0d4477b91fb,false,319,4,161.5,35.72
179dfa48613919c391037d514a9450838422f735,false,126848,36,63442.0,2136.94
0c2da8c0ef4fafd9ae3ed5a2834b537f6fc3af5f,false,23,1,12.0,4.8
d11458a95a7c0746da49ca8a55c7517a4d770dd8,false,183,1,92.0,13.53
d046f915c7688f09e3c7c231beae480b51405b23,false,173,3,88.0,22.78
4b2e3c18bb8579f2bad18391efca4ab6a91b2db3,false,2,1,1.5,1.41
dcee61799f32506713986f01146f8f596700eca7,false,125612,278,62945.0,5909.33
e845fe150c902f03da0b0d998898118726be3aa9,false,906,14,460.0,112.62
48016e86307a388986689423eedcfb1f63cba640,false,1007,1,504.0,31.73
aa7570f472df5786361095cfe94a7b63d7ff3315,true,271,222,246.5,245.28
194319d7a78fea97e03655cf131bea58b348700b,false,33817,68,16942.5,1516.43
3c5cad8beea587b979631ff872b29e7abdb14ddf,false,22,1,11.5,4.69
b3405e4a1b11de2bb6eb97b3bdccfe6eb23bf12e,false,687,727,707.0,706.72
4aaa2b273ff8e54a011b994776a594def8b15428,true,32,9,20.5,16.97
29d91631c2cbf653da25ac63ea6555bed12de69a,false,40,2,21.0,8.94
af04a3de6d2da4961282e63b02309fdc80bfacf9,false,1,12,6.5,3.46
4a7ce0fa67a3e92f09f8818c796154e250e61d83,false,454,5,229.5,47.64
