project,totalMerges,totalRandomMerges
android,814,30
TweetLanes,107,30
Etar-Calendar,3206,30
AntennaPod,716,30
PocketHub,177,30
fdroidclient,342,30
Timber,68,30
NewPipe,512,30
ExoPlayer,240,30
FastHub,245,30
gnucash-android,215,30
