mergeID,isConfliting,existsCommonSlices,totalCommonSlices
a452de518751a9176f5643b1f4dbe9abb86520cd,0,0,0
03e1dfea0696f8aca55b40ea9328919a2328282c,0,0,0
82cb599b02beed6f24e93fe4ffb9c88819aa3402,0,0,0
fc0782ad3f579dbaa720e1b5cebaac8c9ccaa1e9,0,0,0
3c5cad8beea587b979631ff872b29e7abdb14ddf,0,0,0
677320095108ff27f13880f9606aed85ab2fecff,0,0,0
b0cc895cbea69d0636aeba73d8edcf4d43570026,0,0,0
d56f15b66bf655793b4cdeb3d84272cac54c1cea,0,0,0
173e4718d625423d1fea0af5fdba3590be88b4f0,0,0,0
40f96828f6e380b2c8301d7dcc2cafccb440243b,0,0,0
4aaa2b273ff8e54a011b994776a594def8b15428,1,0,0
bbfc077bdec596ef4075fa2e9638d9b57ab05b46,0,0,0
fef166a00b2c06b39447fc9b84d946610eb06555,0,0,0
3d15b371e9edf40b81ff4ea9afefebb99b85a59e,0,1,2
7af05ccf519a13db3b3919a04190068a161c3cc8,0,0,0
0c2da8c0ef4fafd9ae3ed5a2834b537f6fc3af5f,0,0,0
33674abf3910ad490b1ba4659503c61faa0c74f1,0,0,0
b2cc8c98da6d5fa39d6b0abeaccb326fe356d0be,0,0,0
c87a4eb11203f5fc05844f5c1ba8dd2b4a5aec85,0,1,1
b2bdf714bd8a9196c2e9c8bc935a461f1b088ee5,0,0,0
f1b947da2d83422457937a326d252dd54e59076e,0,0,0
8b57371f4f03ffcad8abc15e86714c9ddb19bc0a,0,0,0
5bc365e731d44ae5be2b756643bb3c6f03c53fcd,0,0,0
087e2b11c22216d936430c370675da7d594538ff,0,0,0
fe2ba26db22252ac2cf89434b20dea4a161649df,0,0,0
4a7ce0fa67a3e92f09f8818c796154e250e61d83,0,0,0
42f54682e48797a226a893b8af9aaf4d2c80802b,0,0,0
e56c07a7f92f82735c588ca53979428d1dccb1cb,0,0,0
889d526266aef391fd7d438a86317811bb44d1ea,0,0,0
b4cc40722d447b08a3f5e56ec932a1b0ac57e847,0,0,0
4b2e3c18bb8579f2bad18391efca4ab6a91b2db3,0,0,0
dbfa081b99fbfd15bce1e144b04146badeb18248,0,1,2
9eb59c134499c6dd1b066ced32930da988982be1,0,1,4
7d35027d4d21fe3572cf0d9722f2e0ad3b1cb6ee,0,0,0
acdb0e6037c5eb29c230a286d9fde591e7c367a4,0,1,3
5a7aefb5cdfdad87b2a0618520558e32027be902,0,1,2
2a6411df7ec074815b7c0d6da252acb1dc7d2e3e,0,0,0
ff5e429d89d2ddfd3b7f6d3f1b79fc7e4ecc15ee,0,0,0
e971a0f5ecba931620b688ec3bed8189bcfc672e,0,0,0
ff8b0d4774f7d0c70801d43d940cb71ac18bb37c,0,0,0
b1ea6d913222cf18ede35ae99bcaed42dea43f93,0,1,2
5779d119011e6783df322003b1e068ed7e0d9c75,0,0,0
7fe47c12af947fead174109a0f9b852361757d43,0,1,1
3f76498501140df5eadc4f77414de0fcbe65393f,0,0,0
5ae5e640a6cfe379304e75d2bb0ef2ef9d4a4b5d,0,1,4
24ba022d5a4d7e97cbca7b5f29983104966bc2be,0,0,0
9cbcf3f2d818b4b8f93fd3481781f34da2ee2600,0,0,0
c1078dfeae3d067cafbac3c3734bda21d5e298fb,0,1,1
034de6fe166247a6871525b290e5153af1a95620,0,0,0
8e6e7a5180c42c3f9c5b2483e296e1d688bc3505,0,0,0
c1c288ffaa4c5cb6df026e3ba35c41085977d487,0,1,1
577282c7051094974d87caafeec748ef0981d15b,0,0,0
af04a3de6d2da4961282e63b02309fdc80bfacf9,0,0,0
7d3dc3566520a0fa5c598cb0832984e15eca6fec,1,1,1
4ed2a1ae83c04dacfafa07965d8ec4b50c0c04e5,0,0,0
df43ed6e626435823aadfad244d3eb595e843386,1,1,4
d217172110768a51d7c247c2439da65a1ae68266,0,0,0
3c132bc65d0df6432924cf4353d6796b6150a00e,0,0,0
f2ba5d0790ab9cb7d70db64547bcd0867b13862c,0,0,0
679224a0312564975efd7dcacd207fce154865d2,0,0,0
af10972e36d74634aac455e0dbff1ea9bc3756a7,0,0,0
79ea65d1f8f5d49b5eb12f509428bbcaf0e26b24,0,0,0
f0758683eaf4594a10c44b08aa60b78a4542ff4e,0,0,0
f546ccac2164f4e732e4053563593d719268267f,0,0,0
e44902cba49edc3d9886b750ad8ba9ec94155588,0,0,0
055dcb9dc83dc597f5859271367aba14eeaad9be,0,0,0
d11458a95a7c0746da49ca8a55c7517a4d770dd8,0,1,1
8eea62b8075661db1cb90a3c81f7a9d02f51f8bf,0,0,0
b6c0d465c4a8a02f360a2b8cf3d9c4e04eac2353,0,0,0
3a39f12f865d0819c7f39bf47b5c918cb1397b90,0,1,1
d75028a76baba00204d405e3d9f8d581b453bda4,0,1,3
d7a5b7feb29bff4fcb5470714a1b0bcc117fca46,0,0,0
623a2579bbd7b09a027c9341c81edd0627c64df4,0,0,0
24e995acd278fdf96406ed3866077fca9e6d4f0b,0,0,0
