project,totalMerges,totalRandomMerges
android,814,50
TweetLanes,107,50
Etar-Calendar,3206,50
AntennaPod,716,50
PocketHub,177,50
fdroidclient,342,50
Timber,68,50
NewPipe,512,50
ExoPlayer,240,50
FastHub,245,50
gnucash-android,215,50
