mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
e2fac962f341b136b611de7f5e99e51bcdc1704d,false,48,122,85.0,76.52
e88312659b305875cc9a4338854fd4877db91afa,false,198,1163,680.5,479.87
d3332583b6097dff866170f1067a836a90587b70,false,87,215,151.0,136.77
1a2b18f722f9e61deef46dd480b1fccbe71b6902,false,150,74,112.0,105.36
488d1ccd5a2c1b8d19cdf84ba2b70543f4252a61,true,1317,80,698.5,324.59
5537abe2c33f002e0edb56b3b45b4cf087dc0a05,false,64,32,48.0,45.25
124461f587e802ac8a696b0bd3f0e2592beec9cb,false,109,70,89.5,87.35
1fb1b3a7843ee1d9d74959878273415e4a88d18f,false,1,144,72.5,12.0
621a1909ec5b4ebd44b993ae21d5d5997331249f,true,24,56913,28468.5,1168.72
7575e8fbe3282931ba8ab1471c4d849702230efc,false,23,1,12.0,4.8
b20ae4528053aa34baae5587bfaa9a4e500e3289,false,277,71,174.0,140.24
cca72a9e4e586efb43e2114abfae8af029759518,false,95,27,61.0,50.65
0c1d77313457623807011742166a0c0b71c65a6a,false,1424,61,742.5,294.73
3a9f30d954b1b691f609eee852adb60471a9a52c,false,244,1,122.5,15.62
07836c7ffab63b7abb0bb7088b1a2d87ee302b33,false,14,5,9.5,8.37
2d51085ccf4c69c7787e0df09716f96ac9594a28,false,4,2,3.0,2.83
736d9fe450ffcff791a18e3d7a9650bee711b02a,false,53322,15,26668.5,894.33
ba56aec353e3b242c81ab1631e46da42432028ba,false,4,376,190.0,38.78
604bc5b4c1a054d7d83d52cfd688568b1380dddb,false,314,6,160.0,43.41
c5885d9ce4ee481e75113d4500bed3ef5c236594,false,90,11,50.5,31.46
7d6b92e06492b3fcbb6e2f4278faba71aa0b09cd,false,341,7,174.0,48.86
9e95ca10b282822c43667a9b4c09da134588bd69,false,4,14,9.0,7.48
9a5e82cb1e2acfc086abd73b5c23ee4bf51077bf,false,351,34,192.5,109.24
9427ebd4898756484ac2a86e9eb0adb489d92954,false,10,4,7.0,6.32
8fd7599158ba11ede01bffc50f06e365091ab1a2,false,10,38,24.0,19.49
ff38ae202bfa8bdd05725cd4246f719f8377e3df,false,1549,1,775.0,39.36
82d214faa6ad0e733c1f8c9826b9eb8ff238ee7d,false,83,17,50.0,37.56
4cdc387338eb7eda96c2e34c2345fee536ea8073,false,92,13,52.5,34.58
c4d0ba549fe22c9dd140fef14a4c5063f8ab1f7a,false,97,4,50.5,19.7
76c59cbdeaefa989de4a95ad29332919aacbc709,false,455,1548,1001.5,839.25
