mergeCommitID, isConflicting, countLeftFiles, countRightFiles, arithmeticMeanChangedFiles, geometricMeanChangedFiles
e2fac962f341b136b611de7f5e99e51bcdc1704d,false,1,25,13.0,5.0
e88312659b305875cc9a4338854fd4877db91afa,false,10,130,70.0,36.06
d3332583b6097dff866170f1067a836a90587b70,false,5,4,4.5,4.47
1a2b18f722f9e61deef46dd480b1fccbe71b6902,false,2,13,7.5,5.1
488d1ccd5a2c1b8d19cdf84ba2b70543f4252a61,true,39,3,21.0,10.82
5537abe2c33f002e0edb56b3b45b4cf087dc0a05,false,3,9,6.0,5.2
124461f587e802ac8a696b0bd3f0e2592beec9cb,false,2,12,7.0,4.9
1fb1b3a7843ee1d9d74959878273415e4a88d18f,false,1,2,1.5,1.41
621a1909ec5b4ebd44b993ae21d5d5997331249f,true,7,248,127.5,41.67
7575e8fbe3282931ba8ab1471c4d849702230efc,false,4,1,2.5,2.0
b20ae4528053aa34baae5587bfaa9a4e500e3289,false,17,4,10.5,8.25
cca72a9e4e586efb43e2114abfae8af029759518,false,2,9,5.5,4.24
0c1d77313457623807011742166a0c0b71c65a6a,false,60,9,34.5,23.24
3a9f30d954b1b691f609eee852adb60471a9a52c,false,8,1,4.5,2.83
07836c7ffab63b7abb0bb7088b1a2d87ee302b33,false,1,1,1.0,1.0
2d51085ccf4c69c7787e0df09716f96ac9594a28,false,2,1,1.5,1.41
736d9fe450ffcff791a18e3d7a9650bee711b02a,false,111,6,58.5,25.81
ba56aec353e3b242c81ab1631e46da42432028ba,false,2,33,17.5,8.12
604bc5b4c1a054d7d83d52cfd688568b1380dddb,false,13,1,7.0,3.61
c5885d9ce4ee481e75113d4500bed3ef5c236594,false,1,4,2.5,2.0
7d6b92e06492b3fcbb6e2f4278faba71aa0b09cd,false,118,15,66.5,42.07
9e95ca10b282822c43667a9b4c09da134588bd69,false,1,5,3.0,2.24
9a5e82cb1e2acfc086abd73b5c23ee4bf51077bf,false,40,5,22.5,14.14
9427ebd4898756484ac2a86e9eb0adb489d92954,false,2,1,1.5,1.41
8fd7599158ba11ede01bffc50f06e365091ab1a2,false,4,1,2.5,2.0
ff38ae202bfa8bdd05725cd4246f719f8377e3df,false,100,1,50.5,10.0
82d214faa6ad0e733c1f8c9826b9eb8ff238ee7d,false,3,6,4.5,4.24
4cdc387338eb7eda96c2e34c2345fee536ea8073,false,29,2,15.5,7.62
c4d0ba549fe22c9dd140fef14a4c5063f8ab1f7a,false,5,1,3.0,2.24
76c59cbdeaefa989de4a95ad29332919aacbc709,false,8,8,8.0,8.0
