MergeCommitID, isMergeConflicting, left, right, ancestor, countLeftCommits, countRightCommits, sumMergeCommits, arithmeticMeanMergeCommits, geometricMeanMergeCommits, listLeftCommits,listRightCommits
aa49668008a75a595287943fe4b3529848108b27,false,8b06f6c65abc3075494a8cd98fa23af81c069a50,6b599977e77eec64b7ec32b4743aa11b46f5f2b8,52f091d20667b0bf463d1909e84fe7fb2cafd610,1,1,2,1.0,1.0,8b06f6c65abc3075494a8cd98fa23af81c069a50@@,6b599977e77eec64b7ec32b4743aa11b46f5f2b8@@
e02e55d041db4e3f7a4c82780bd68fc7a712730f,false,4af99e3d21ecdd54ebffced936cc3e55ea42d119,6d2b97d8d2c2c644c5fba01bade6e5a373b8dc29,745d0fec6a4dd4ec8b991850f1c46d24421b934e,10,1,11,5.5,3.16,4af99e3d21ecdd54ebffced936cc3e55ea42d119@@4ed1bcb445b136c618d2cba1eb8bf155918f02a5@@61c3e65a764c8c691ccac3386bdc71911f711f47@@fbb516e154784712e3f389cbad5d3c9e6d4bf58f@@f9863910733bf110d8064b087b8c022680d20204@@76a3259b84907a9746cbc55c06ef22bc445c0346@@d375c1b4d84511e4e6afe21101aa8dacc7a7f736@@c018728197129ac73cc3528c878ce639e15f5606@@b85943fa80fa0ce984022b380ef230d098b27435@@f20dc0377562585bfbd7571280e61cd01288c571@@,6d2b97d8d2c2c644c5fba01bade6e5a373b8dc29@@
5b23b29111037edd83f14c1935106f80617e8c94,false,953d0958f4cf691db08a985c9aa66f737e7e984b,af0afa72d2df6967d6eaa64c338eb8c6f70aecce,4998af1d139c78a2c541950599504a30dd7ab8dc,3,6,9,4.5,4.24,953d0958f4cf691db08a985c9aa66f737e7e984b@@7d4e6e26e0bd03b1e1ec3cfe403f45dec859c2d8@@8700eaec02314c3f8ab0471bd5f5a39e8c3820b0@@,af0afa72d2df6967d6eaa64c338eb8c6f70aecce@@f0be347a1568218ce0e7e123a86c4bbaf55407a2@@6c9a69220f2153f5770c89b4e213367d5bd2ee93@@0e047aaa8b1c0be2040c9eb12420fd7132af4ec6@@da6aacde5adb88b6cf6eb6233840855b793efe61@@4a009961962d503ad02333777f821528b2d437fa@@
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,true,5283b04615f5e61b48fdb783886c28df4bf78122,e2b8ac73e8484c17788502907a9480ef399f5dc2,1b69561667f18b22df141660f785d769d7bc0a36,1,7,8,4.0,2.65,5283b04615f5e61b48fdb783886c28df4bf78122@@,e2b8ac73e8484c17788502907a9480ef399f5dc2@@1905e39e43b34f48c532e67672b89d06c80a7f87@@8fdd8a3cbf222f9e0037ab1b68cc6411652334ef@@5be73b8b00c490596a071fc9bcad7391a61e2a2b@@5ac4b9ed5fa21ade6b8517371b3fd5fccc2926ab@@c27567c479579e4c7e912fe9fdb0b309ed43cd3b@@66898885fa8fecc973de7c9b51fcf298d66307a0@@
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,true,c2bdcb25f2ea4ae7942536c062c9b77d1dd6c9c4,15bd95b3dc1ce95a6afb982d932a0784942a54e7,bedc7df087ead697151bb0fc5005184e4be08b31,120,1,121,60.5,10.95,c2bdcb25f2ea4ae7942536c062c9b77d1dd6c9c4@@2f7ed5e1c52b5e30376abed28f268482eebcecfd@@9c1a9cb590f54112796ed1d8f6cdcbcee065f523@@b8f55e92135ee87619093b2142bd7cb24e15a6b9@@ed560d3d31f0d4e125282d371ecddf864792aae8@@602ae594c1cda48d0a9173dd7f3ded11818c86ed@@3a91b49cda4c15c835a0e4e8e06febe266712c37@@e3d49008872cceb67479183dae2d7fe707ad2423@@c623d28723ba1734cac23345ff3cdb3774aa8f51@@61bb0ceb9cba3bbe115128a85e9f7a15757025af@@c17b63a9a4bed642f373d717bfb695ff8f72b06e@@cbcf97252f76c0e47663566d77f688430ce1b344@@d7064fd5891680592e27257539ef7542c0dac352@@33dbfca39f3dd85b59a4b2087b08751e53279720@@4e472783b207254d117d2c3bca29b11a26803f47@@5b23b29111037edd83f14c1935106f80617e8c94@@953d0958f4cf691db08a985c9aa66f737e7e984b@@7d4e6e26e0bd03b1e1ec3cfe403f45dec859c2d8@@af0afa72d2df6967d6eaa64c338eb8c6f70aecce@@f0be347a1568218ce0e7e123a86c4bbaf55407a2@@6c9a69220f2153f5770c89b4e213367d5bd2ee93@@0e047aaa8b1c0be2040c9eb12420fd7132af4ec6@@da6aacde5adb88b6cf6eb6233840855b793efe61@@4a009961962d503ad02333777f821528b2d437fa@@8700eaec02314c3f8ab0471bd5f5a39e8c3820b0@@4998af1d139c78a2c541950599504a30dd7ab8dc@@c592d50fb7d0dd93b16d8c8babae916302352577@@d6ca97deb7fa35b82a86d379262f4f381c3af7ae@@c461a6550178bbc9a6abf8f01bbf32b1683422f4@@4dc8c85a5970dac37004739ad75be28ed5a10e30@@ea5fb3d7912259fd8c305401e93f7d9650d902b1@@30bb2aeae4538e0f19b51b9e760b6e640559c973@@b184b3404b901743780a86ada0dfdc720c7046a5@@eb9c7c77c643928920c2b093cfc044b4ae949e71@@b6f307a7742dfaef506de4a7dceefa55e032a20e@@d11f4b565ccbc5c2c2ee88d8f065b7a635527e5c@@cf744a7b9252e4cea0f37b71b08c2d3d38f45749@@20697136d8425e18e33b0ddc7ee8a349675a75c6@@5bc85fc4f8c0aeece60d695c304f3aa2ab5cde84@@8ef8f59da2e64c0ffd330ee9efeac3527be9b151@@328a2e66a63d075a361cc0f841835fb85d887a49@@cdd944c4ed60678aa89bf409b7343e90479d805b@@ffd4ffab3e2034204152e43af304fcbe151e70c6@@9cbc501511e2d80f0470e00e84ac3b7bea3fd360@@8782a83437d5a6a9b3bb06769d4d43ab93034dd6@@c96f0ee26ce7f898add0d0d26dcc86d7de0890d8@@d46597f74886736697ad759d2603d87aebbe8244@@443b8df177e7ede8bf5e0c0fdf86719e016520b7@@efcce60bcad5a6a51745cf21c0c2eee47318685d@@e843cc9669475cd642ef7c96043693106e6fdc17@@47bf498bbaf767111dd9deacdf0ed00d2753a7eb@@9fa137f4ffed7556e3f55d80a19eb8a07f2b4541@@f883abf6322ceece5d753db0bd911d2d78a97e60@@0bf3fab6781a1344df8511813e2f1bb4a24e5d37@@2e11468e9d985969886b10a1c73ed36c59467426@@02d5a2fac19a4b2d981ca773f1d67bfae5bb5e5e@@a985b6e29fcae1901a6aac8b953e814022dcc0e9@@dcdabc8a2f0d37495bddbddf688934b5452f7dbc@@2fe1e3f0b0e86243cc3be80dca43a933f3e09fee@@f498de517c2df4d88a986273630ec18b219c9ae1@@1e507879d8cb61cd2fd2b129d9749349785dde7a@@4551b8b44340d1fd070714dc336c7145b85f360a@@44d9edb2610eb7a2147012afa90f1e57ad6a3a33@@441ed05e21c5e9f92a7a86d427c415a4c7b7acee@@ad5b8991bf385f6ddf0d8463cba373aefe1dab4e@@4f640f2726a30e535eb78833d8c41a67beaad2cf@@30234057ebf00db3c39c3dce66c231f39021a0ef@@c6599a90097e829659f3a782e4b99251d4c6db3d@@ccedafa1aee93d8082dd62f3db59eec2d319a4fc@@f6f1353e52217978ac7d35d4f3e58b65e139c571@@e5e119936ebe2a1ee0896c3730c134ee102b1b2c@@46baf81d8fabfc9d80ae534e7c9922acbdb78191@@9818eb0351f809c0588c2a4ad7aeb29cc1569b61@@fb2015f9992b8a046b0b4e4eb9c47a9e78146023@@53d8f93a71cad79734cce9707bf848bfb22befd3@@2df645b477370bd9df2435c7e3748c16a916f75b@@cdb5d97b1348d6a23a407f2585b43ccf69a59b30@@d239b6c3f7f5cf208ccf8408106b96f12973cb55@@f22822425aa10280fbf261ded94ee1546dc5fa7f@@a337a02f47a27ad3a1c4f7c8f2a3bd1b67fcc5ed@@e54b0a3fb8b74e16d0f81a1f5ca0f05530f66f1e@@20bf79c2cdb6fca561e21cf35595ab433c944d2b@@ee3b1b03f6eb10c93c3c26416f2a6b5635ffa0c8@@75decc1197e217114aab59455d82022d9684737f@@94c42ea7165040d9943f99d551fe1aadcddbcdba@@0e0f90aff5b94ab2a963f04649dde950796cdc9e@@46e15eb4740d2cf1ffb65e264f47a2ca13e00e53@@bca8fb547edf6f0569e8883ac82b17fbe8bd2e40@@4887f984ee36ebaf2e1a0a0b37f37ee116a18c8d@@688afd5ff60253388e7580cef98cf78ea8fb470f@@67482082b9df9c048103cb178e108843b00b2334@@411454683daee0fe62217b7d5b137ecd7087dae5@@67f1442d7d1ed9a87356c8d06a2614ace09b912f@@58c89023de9137139fbf5987c7d288a463c68574@@2a46837b2c28586829ebb66df62e4a0a385c54e2@@1554aa95c1cbb916d1ed1a6fa797a00a7bffd138@@2a8924b9d04f66a09679b046c15a46c4a6b369da@@a2ddfac83d56437cba11c454590a5b95fa6079e4@@ebc9c9998bf6847b1fbe3d6910de3c1c5fda5e62@@5c6d69b8950a76973d643a9c1de3b5bf8537886d@@1ad18b5b197d2ebc386e784f98e07388a2d43ff3@@4713945458e077eaeb7c37fd832c7f9a9b6113f3@@49eb55cbf0f544a364135f9cf5d1530c6d63b98a@@6af1b95e8966e40e71a4cc4f8563174cb86e51bf@@af48a1cdf05c5349c907382749929410cf559906@@8fe499095b5d1b49fe4441a227b034e8cd2d40b2@@6aedc946c5dba4e09da8b08d2672d76d795901f2@@a114d5c1ca80b66f5b6108c7fd5973f912eb7287@@e6813a430ece30eb2a791eac871b864afaa15976@@e65768c81625c393be1a88d9e050211e44a69872@@8de34493f7323d724e8b0a698d04cc25fd117d4d@@8cab1ecddae49cfc3b725dd2c736a33dcfebc076@@d20f9cccccdcb6da823031af4e94e22fe7b702d4@@229331f38a6c1aa28ec3a6d658a5bb62383b45d3@@1a9c903ad24c8a71c80b522608c90f24375cb41a@@ba2cd2a8b4dc8fbd9319349ce1d99b98787e12c2@@a31a359c3e957478dc3cf60eeb16dae376c59cb2@@dd3f53bbaadc04c53d2fad9a25e8be3feaf7c7f1@@8fdc8b41df701e8b1ac83df80e53eb2d25166bc7@@7b35217f249de21c7e451c499647cf9fa278bca8@@,15bd95b3dc1ce95a6afb982d932a0784942a54e7@@
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,false,95ee5b19d37024cbaca561386d7cfccc656d01de,57ba9dfa6906c397085a1615f41c503ea7f90463,8d4adab240159f8ab154b0ffb02342375ccdde23,1,1,2,1.0,1.0,95ee5b19d37024cbaca561386d7cfccc656d01de@@,57ba9dfa6906c397085a1615f41c503ea7f90463@@
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,true,624bd19aa9517514a8a6c6fbdb9d984bdad8361b,2240a9e26bb461c8f7e37b07d7143222977ce93d,0393447bf3e9eaeb96fc7f2233e640ddf42b0280,10,2,12,6.0,4.47,624bd19aa9517514a8a6c6fbdb9d984bdad8361b@@e920ec958e5052ad819ebc727908b921a898baa4@@e390490f23e44397fdb2e29176cb2f3348b0b4e4@@916ab8530dd6bfd1defd01b29d634785dbbc9f87@@7f619d03f85e20e8640b3beb7931256e6de9ac0f@@b43f49fbab4f7cf2eab08026f22c6c219ca95d00@@35e3ad024cad1085f519737ddf40ab59122ff050@@46d7bdcd878cf60179485c38eab9c273cfcca9a3@@253dda89d70fed602d7ee344914c55553c37d13c@@1d0f233292922d59bf4f33789ab23b8c7fa5517d@@,2240a9e26bb461c8f7e37b07d7143222977ce93d@@bd27e5d5abaf3449ea1eac41d7f41e73fae58ebf@@
f418aa3e3ee76577fdfe5ea01dacc6290200659f,false,6858b462f5776e50549ceb76bc93731a9a52964f,348c9d215dd6feeead7bc64958928f97bfaff42d,0acd31f090c735c5e357ce0ae4673974e92d7307,3,13,16,8.0,6.24,6858b462f5776e50549ceb76bc93731a9a52964f@@8945d49b599f7ccf4c621ae93342f4feba5d2e53@@88b4dba796687019b386c5cbbbf790da5edf6ac2@@,348c9d215dd6feeead7bc64958928f97bfaff42d@@c5cddf96ba653e47c37409c3d9f7de07a5a39b62@@e4575f59cb88a53d32ca5d481703574d9992480c@@afe54ce33f9abf41cfe25db8eee405dcacaf4907@@ba58195f49120ffc7bbd4bacd466981bd575eb14@@6124e074ec88d0bfb4b6d5ab0f2fd0ea2b302efc@@804d0feaa0e7096beb0c46d937a07d8bf31eadab@@00caf44ef1e9e037dae6e8d3b857bed97de9854f@@4b406eb4f7f80e926dd4ff05b7bdc2c70c172481@@f9e7455f14364fda32e39687cd2140f33b8cf4c5@@f8143c89572eaacc45911d7d7c9a93fc4f854c87@@31dc4f7ba8218c6dcecc995c78a3606ff3804c9c@@96440f27b0a0a76a6b618574b4d1ee4debd95645@@
4cbfb0bb484faabb1e849e901db6b2a416135be5,true,3d870e85beab8f4506fb6f5d6f9e6a2bb4f4133a,2fb4c7487a53ae002b4350a93cfdb661739f5c28,6e716f965859b31c6f4532f2290f98da4f4f838a,1,21,22,11.0,4.58,3d870e85beab8f4506fb6f5d6f9e6a2bb4f4133a@@,2fb4c7487a53ae002b4350a93cfdb661739f5c28@@d6c563b09fc1c8e4f29da573978a9c311900d49e@@bdc0e5b2340ea6d3881bc96409e9a808d99c7afb@@82f3cb7ff148e041a88172aff9bcf495ad89954c@@20dfd45148bf52f465c0ace2e53f79ec3eabaa7e@@9d40c8c41dd3da13b6ae7f65903a25905602f456@@946b09c654d96177c06b653ee1777685ba69598b@@c629e402ab17785e53126748d591bef2d815a283@@4d752c33ffc2293e2c7b0c79e11b20a28d9fdbd1@@75b54e72e661451be9014e48702451e530ae106d@@8ad423dc70292121b4157c08852163266cce1c1a@@4bf40d341fbdead3b73da3264ed3ceb52c1f81e2@@16faa2a82396ea374643ae5fc54338fdef574625@@87748bbf10b1d186815cbde4210744fb2228a1c6@@3aa874fa44405b67c376ee4ffa26030aa45e659b@@6f1d163204e651ac7c9cc15c11c08f5999c75683@@e0a6ae0833c9fdf0df55543cd974f0af596b9bbb@@cbf253ae3e82dca464b2e4eb07c4ff143db1b6f0@@6234bcf2e98fc5751fa564f1171e605d478fb036@@6d874819f985c208beb78679b8293c0cbf750787@@17095d18381a7f5a72d17dea47ee401e08c67bb9@@
e4575f59cb88a53d32ca5d481703574d9992480c,false,afe54ce33f9abf41cfe25db8eee405dcacaf4907,00caf44ef1e9e037dae6e8d3b857bed97de9854f,0acd31f090c735c5e357ce0ae4673974e92d7307,8,2,10,5.0,4.0,afe54ce33f9abf41cfe25db8eee405dcacaf4907@@ba58195f49120ffc7bbd4bacd466981bd575eb14@@6124e074ec88d0bfb4b6d5ab0f2fd0ea2b302efc@@804d0feaa0e7096beb0c46d937a07d8bf31eadab@@4b406eb4f7f80e926dd4ff05b7bdc2c70c172481@@f8143c89572eaacc45911d7d7c9a93fc4f854c87@@31dc4f7ba8218c6dcecc995c78a3606ff3804c9c@@96440f27b0a0a76a6b618574b4d1ee4debd95645@@,00caf44ef1e9e037dae6e8d3b857bed97de9854f@@f9e7455f14364fda32e39687cd2140f33b8cf4c5@@
