mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
09fa8dab66b82ee46e6d63c240d7ee6a10a5873a,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,1.0,1.0,0,0,0
3e9c4e20e75cf3916f0b193b396d00b09bf000a9,1,0,0,1,1,5.5,4.9,1.5,1.41,1.0,1.0,0,4.5,2.83,4.0,3.87,7.0,5.74,0,1,1
712b1331fb5f9d8736212dc40cb0364529300a18,1,0,0,1,1,7.5,5.1,1.0,1.0,1.5,1.41,1,7.0,3.61,4.5,4.24,42.5,28.53,2,1,2
4e5e5501477c13114a8eb4ae658e15df456590aa,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,1.0,1.0,1,0,0
32f5876d4d7f6e450cc43550d5f2fd449d31e6b4,1,0,0,3,3,7.5,7.07,2.5,2.45,1.0,1.0,0,7.0,7.0,11.5,6.48,56.0,25.22,0,1,1
df884e57e2d0e4ab5356a563bb8161ac422045ba,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,5.0,3.0,2,0,0
3ed5bc6f4837f8f9c4e3dcde0b7c7df595768919,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,15.0,9.0,0,1,1
b2c1ff19199a4cdacd4fc7bc882858ec2115ec81,0,0,0,0,0,9.5,6.93,1.0,1.0,3.5,2.45,5,4.0,3.87,17.0,5.74,9.5,4.24,5,0,0
f0327278721ad9d30b9b38eb3e05fe375a3ac7ca,1,1,1,1,1,11.0,6.32,1.5,1.41,2.5,2.0,3,2.5,2.0,47.0,13.56,20.5,8.83,4,1,26
f6b01aa4d9e51be9f049bb2846d00f3e9b28e920,0,1,1,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,13.0,6.93,1.0,1.0,1,1,7
7e5c7dd4eb722eb38f9bffac0d9d66468104289c,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,19.0,6.08,1,1,1
f8458ec971aeccfe2aaa49465738d847d693e1e0,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,2.0,1.73,2.0,2.0,4.5,2.83,1,0,0
cca2bb1247c80b025e12b00c3ca9943d3268fa4f,0,0,0,0,0,2.0,2.0,1.5,1.41,5.0,3.0,8,1.0,1.0,1.5,1.41,6.0,3.32,9,0,0
494e26204851be93e4e4636b99bf4587e91f1959,0,0,0,0,0,2.0,1.73,1.5,1.41,3.5,2.45,5,1.0,1.0,4.5,2.83,2.5,2.0,6,0,0
aff2e3cfd8d579bef75f502b3b34d02d9b70aee9,0,1,40,0,0,4.0,3.87,2.0,2.0,1.0,1.0,0,1.0,1.0,484.0,484.0,258725.0,258725.0,0,1,484
