mergeCommitID, isConflicting, countLeftLines, countRightLines, arithmeticMeanChangedLines, geometricMeanChangedLines
9ed5830ad605a6891bc67100393ec24bfeeefe4d,false,1,10,5.5,3.16
8f2c5466fa963d93503e8cc46e1bb05c1c1f2185,false,46681,5,23343.0,483.12
58fd430940fc630f04fc73f00e6c055f597bcbb7,false,67853,1,33927.0,260.49
c69517a077b91f6f0e30a8c2559a39d1e00bcdd3,false,1579,4,791.5,79.47
79173d9f1210bfe8ef29f0c00b4d83aa45162271,false,42,18,30.0,27.5
1d68b3cdddfafcd79657379d668fc38b04f20c2b,false,406,3,204.5,34.9
3e722154fa9fece6e2811278e32e8059feb0ddc4,false,494,1,247.5,22.23
5ef8101414f923a8fc9244d1b1b529b48d6d1276,true,13236,33,6634.5,660.9
047079a8bbb68e6589c7c1d1daa5b25ac92cfcd0,false,1,14,7.5,3.74
604b2d999d1064f8549f86cb910582df2310a01a,false,123,26,74.5,56.55
4dcea88ce1c4653aaa1569d9d3bcb80b88c9de68,true,15026,3,7514.5,212.32
6afbaa2a78fde3cba4a5f8f964be92abb7527416,false,558,124,341.0,263.04
00c94183f8a7016df27637f7262b8ff324eed7c3,false,1,14,7.5,3.74
23d27a9df05a4d4455628b5c2fd8f1e0850fd19e,false,1,2,1.5,1.41
4091aa502ef2b67ebca82e3987f3270d4f19e3c2,false,1,80,40.5,8.94
3b0c0b8dd178b973929b1ca511357b1ae90a61b6,false,1,2018,1009.5,44.92
9b67695b8a70a018493fa01924d67dbdb9560bd3,false,1,5,3.0,2.24
c8b75d0d4387dc02b617c8bb7432afd5071d0fc8,false,19533,1542,10537.5,5488.16
0d4141e71e0828b45a44924b9258ca9fb568fa08,false,5475,64,2769.5,591.95
75d80dca513294109e5eb68c7c75ebc5b78eb5ae,false,1,1,1.0,1.0
7ccb211baabd22bf394f158ae116df414fedb4de,false,1,1,1.0,1.0
56b85216670c91ed12bbdf73e0fd3023a13b874f,false,9185,4023,6604.0,6078.75
524b1ebbeb9dafc66cbaef9ac595d97ab55d063b,false,433,18,225.5,88.28
2d078d53767ed634a22826a7c088efc91c528903,false,52,80,66.0,64.5
b023b8bfbf790476a386f1b2f427fe5dcca5fc43,false,417,6,211.5,50.02
f32361a70647652a07e0387693e40d8e4f63d142,false,71,1,36.0,8.43
88d0b0438e41ad3aff04879b6bb0f4789ee05936,false,1,727,364.0,26.96
f04883c40f4b805fcc2c2c10c12b569eae085bb9,false,1,1,1.0,1.0
ce2719263ef6cc77ea2c24d5cb8602c763a5c895,false,10105,4,5054.5,201.05
f388d55d28296a38eb17d7d7e497edb427c0a1ab,false,1,42,21.5,6.48
