project,totalMerges,totalRandomMerges
android,812,30
TweetLanes,107,30
android,79,30
Etar-Calendar,3208,30
AntennaPod,662,30
PocketHub,177,30
fdroidclient,323,30
andors-trail,52,30
Timber,68,30
NewPipe,463,30
Timber,68,30
NewPipe,463,30
android,813,30
ExoPlayer,217,30
